n,q,failureDucaz,failureSample,failureOriginal
5,61,0.09021452357320162,0.12956900373101235,0.10587600246071815
6,73,0.07814579497547278,0.11165600493550301,0.09114700108766556
7,89,0.05288262894626355,0.0778580017387867,0.06260300166904927
8,109,0.042333350628845634,0.06228000149130821,0.05185100100934505
9,113,0.05938186410209173,0.08260000050067902,0.07011800110340119
10,137,0.044204433466670245,0.06266700141131878,0.0529820017516613
11,149,0.04478843020400118,0.06456400230526924,0.052518000826239586
12,157,0.05013814497038926,0.06974100172519684,0.058553002402186395
13,173,0.05763596060246723,0.07917000278830529,0.06736500225961209
14,181,0.07089527832148916,0.09351300150156021,0.08047800213098526
15,197,0.07546608501592517,0.0992790013551712,0.08774300217628479
16,229,0.06425620275304503,0.08498400226235389,0.07340199947357177
