n,q,failureDucaz,failureSample,failureOriginal
4,53,0.07759880944499911,0.11724400371313096,0.0933340035378933
4,61,0.044416667100588135,0.07201000228524208,0.05582900047302246
5,73,0.04233434828949249,0.06767700240015984,0.05380600094795227
6,89,0.029969310814328035,0.048304001614451406,0.038049999997019766
7,97,0.03481367461980921,0.05675400085747242,0.04442300163209438
7,101,0.03137987242715079,0.047196001186966895,0.03897200077772141
8,109,0.042333350628845634,0.060798000916838645,0.05008500292897224
8,113,0.038033348835237346,0.05496500134468078,0.045215000957250596
10,137,0.044204433466670245,0.06496400162577629,0.05342500098049641
11,149,0.04478843020400118,0.0629270002245903,0.052844001352787016
12,157,0.05013814497038926,0.06844000220298767,0.060062001645565036
13,173,0.05763596060246723,0.07811000198125839,0.06706900037825107
13,181,0.052723051515998,0.07287300080060959,0.06154500097036362
14,193,0.060790650863417915,0.08146800249814987,0.07265800312161445
15,197,0.07546608501592517,0.09879000186920166,0.08572100326418877
16,229,0.06425620275304503,0.08507399931550026,0.0716860018670559
16,233,0.06384079754678179,0.08647700175642967,0.07246800065040589
